,CallCountsPerHour,,,,,,,,,,,,,,,,
0,65,,,,,,,,,,,,,,,,
1,61,,,,,,,,,,,,,,,,
2,66,,,,,,,,,,,,,,,,
3,61,,,,,,,,,,,,,,,,
4,54,,,,,,,,,,,,,,,,
5,49,,,,,,,,,,,,,,,,
6,53,,,,,,,,,,,,,,,,
7,51,,,,,,,,,,,,,,,,
8,75,,,,,,,,,,,,,,,,
9,72,,,,,,,,,,,,,,,,
10,54,,,,,,,,,,,,,,,,
11,72,,,,,,,,,,,,,,,,
12,58,,,,,,,,,,,,,,,,
13,60,,,,,,,,,,,,,,,,
14,69,,,,,,,,,,,,,,,,
15,66,,,,,,,,,,,,,,,,
16,50,,,,,,,,,,,,,,,,
17,61,,,,,,,,,,,,,,,,
18,67,,,,,,,,,,,,,,,,
19,60,,,,,,,,,,,,,,,,
20,67,,,,,,,,,,,,,,,,
21,57,,,,,,,,,,,,,,,,
22,60,,,,,,,,,,,,,,,,
23,59,,,,,,,,,,,,,,,,
24,58,,,,,,,,,,,,,,,,
25,46,,,,,,,,,,,,,,,,
26,54,,,,,,,,,,,,,,,,
27,46,,,,,,,,,,,,,,,,
28,47,,,,,,,,,,,,,,,,
29,59,,,,,,,,,,,,,,,,
30,73,,,,,,,,,,,,,,,,
31,59,,,,,,,,,,,,,,,,
32,55,,,,,,,,,,,,,,,,
33,69,,,,,,,,,,,,,,,,
34,50,,,,,,,,,,,,,,,,
35,51,,,,,,,,,,,,,,,,
36,41,,,,,,,,,,,,,,,,
37,61,,,,,,,,,,,,,,,,
38,51,,,,,,,,,,,,,,,,
39,57,,,,,,,,,,,,,,,,
40,62,,,,,,,,,,,,,,,,
41,65,,,,,,,,,,,,,,,,
42,75,,,,,,,,,,,,,,,,
43,51,,,,,,,,,,,,,,,,
44,55,,,,,,,,,,,,,,,,
45,55,,,,,,,,,,,,,,,,
46,82,,,,,,,,,,,,,,,,
47,56,,,,,,,,,,,,,,,,
48,71,,,,,,,,,,,,,,,,
49,63,,,,,,,,,,,,,,,,
50,64,,,,,,,,,,,,,,,,
51,57,,,,,,,,,,,,,,,,
52,55,,,,,,,,,,,,,,,,
53,44,,,,,,,,,,,,,,,,
54,63,,,,,,,,,,,,,,,,
55,58,,,,,,,,,,,,,,,,
56,72,,,,,,,,,,,,,,,,
57,60,,,,,,,,,,,,,,,,
58,47,,,,,,,,,,,,,,,,
59,54,,,,,,,,,,,,,,,,
60,63,,,,,,,,,,,,,,,,
61,67,,,,,,,,,,,,,,,,
62,58,,,,,,,,,,,,,,,,
63,71,,,,,,,,,,,,,,,,
64,59,,,,,,,,,,,,,,,,
65,52,,,,,,,,,,,,,,,,
66,63,,,,,,,,,,,,,,,,
67,44,,,,,,,,,,,,,,,,
68,60,,,,,,,,,,,,,,,,
69,51,,,,,,,,,,,,,,,,
70,67,,,,,,,,,,,,,,,,
71,53,,,,,,,,,,,,,,,,
72,62,,,,,,,,,,,,,,,,
73,61,,,,,,,,,,,,,,,,
74,50,,,,,,,,,,,,,,,,
75,58,,,,,,,,,,,,,,,,
76,75,,,,,,,,,,,,,,,,
77,58,,,,,,,,,,,,,,,,
78,57,,,,,,,,,,,,,,,,
79,66,,,,,,,,,,,,,,,,
80,53,,,,,,,,,,,,,,,,
81,57,,,,,,,,,,,,,,,,
82,52,,,,,,,,,,,,,,,,
83,63,,,,,,,,,,,,,,,,
84,54,,,,,,,,,,,,,,,,
85,64,,,,,,,,,,,,,,,,
86,58,,,,,,,,,,,,,,,,
87,63,,,,,,,,,,,,,,,,
88,68,,,,,,,,,,,,,,,,
89,67,,,,,,,,,,,,,,,,
90,65,,,,,,,,,,,,,,,,
91,60,,,,,,,,,,,,,,,,
92,66,,,,,,,,,,,,,,,,
93,75,,,,,,,,,,,,,,,,
94,55,,,,,,,,,,,,,,,,
95,57,,,,,,,,,,,,,,,,
96,83,,,,,,,,,,,,,,,,
97,66,,,,,,,,,,,,,,,,
98,49,,,,,,,,,,,,,,,,
99,60,,,,,,,,,,,,,,,,
100,72,,,,,,,,,,,,,,,,
101,49,,,,,,,,,,,,,,,,
102,62,,,,,,,,,,,,,,,,
103,59,,,,,,,,,,,,,,,,
104,80,,,,,,,,,,,,,,,,
105,62,,,,,,,,,,,,,,,,
106,54,,,,,,,,,,,,,,,,
107,64,,,,,,,,,,,,,,,,
108,57,,,,,,,,,,,,,,,,
109,68,,,,,,,,,,,,,,,,
110,54,,,,,,,,,,,,,,,,
111,60,,,,,,,,,,,,,,,,
112,52,,,,,,,,,,,,,,,,
113,60,,,,,,,,,,,,,,,,
114,65,,,,,,,,,,,,,,,,
115,52,,,,,,,,,,,,,,,,
116,57,,,,,,,,,,,,,,,,
117,65,,,,,,,,,,,,,,,,
118,68,,,,,,,,,,,,,,,,
119,58,,,,,,,,,,,,,,,,
120,56,,,,,,,,,,,,,,,,
121,59,,,,,,,,,,,,,,,,
122,53,,,,,,,,,,,,,,,,
123,55,,,,,,,,,,,,,,,,
124,63,,,,,,,,,,,,,,,,
125,60,,,,,,,,,,,,,,,,
126,56,,,,,,,,,,,,,,,,
127,69,,,,,,,,,,,,,,,,
128,63,,,,,,,,,,,,,,,,
129,64,,,,,,,,,,,,,,,,
130,68,,,,,,,,,,,,,,,,
131,61,,,,,,,,,,,,,,,,
132,55,,,,,,,,,,,,,,,,
133,50,,,,,,,,,,,,,,,,
134,69,,,,,,,,,,,,,,,,
135,58,,,,,,,,,,,,,,,,
136,50,,,,,,,,,,,,,,,,
137,52,,,,,,,,,,,,,,,,
138,53,,,,,,,,,,,,,,,,
139,63,,,,,,,,,,,,,,,,
140,67,,,,,,,,,,,,,,,,
141,64,,,,,,,,,,,,,,,,
142,66,,,,,,,,,,,,,,,,
143,70,,,,,,,,,,,,,,,,
144,50,,,,,,,,,,,,,,,,
145,58,,,,,,,,,,,,,,,,
146,64,,,,,,,,,,,,,,,,
147,71,,,,,,,,,,,,,,,,
148,45,,,,,,,,,,,,,,,,
149,71,,,,,,,,,,,,,,,,
150,64,,,,,,,,,,,,,,,,
151,55,,,,,,,,,,,,,,,,
152,58,,,,,,,,,,,,,,,,
153,63,,,,,,,,,,,,,,,,
154,45,,,,,,,,,,,,,,,,
155,61,,,,,,,,,,,,,,,,
156,65,,,,,,,,,,,,,,,,
157,54,,,,,,,,,,,,,,,,
158,50,,,,,,,,,,,,,,,,
159,58,,,,,,,,,,,,,,,,
160,57,,,,,,,,,,,,,,,,
161,62,,,,,,,,,,,,,,,,
162,64,,,,,,,,,,,,,,,,
163,58,,,,,,,,,,,,,,,,
164,65,,,,,,,,,,,,,,,,
165,60,,,,,,,,,,,,,,,,
166,65,,,,,,,,,,,,,,,,
167,60,,,,,,,,,,,,,,,,
168,60,,,,,,,,,,,,,,,,
169,69,,,,,,,,,,,,,,,,
170,63,,,,,,,,,,,,,,,,
171,65,,,,,,,,,,,,,,,,
172,70,,,,,,,,,,,,,,,,
173,59,,,,,,,,,,,,,,,,
174,59,,,,,,,,,,,,,,,,
175,61,,,,,,,,,,,,,,,,
176,61,,,,,,,,,,,,,,,,
177,61,,,,,,,,,,,,,,,,
178,62,,,,,,,,,,,,,,,,
179,53,,,,,,,,,,,,,,,,
180,49,,,,,,,,,,,,,,,,
181,60,,,,,,,,,,,,,,,,
182,61,,,,,,,,,,,,,,,,
183,62,,,,,,,,,,,,,,,,
184,57,,,,,,,,,,,,,,,,
185,53,,,,,,,,,,,,,,,,
186,59,,,,,,,,,,,,,,,,
187,61,,,,,,,,,,,,,,,,
188,66,,,,,,,,,,,,,,,,
189,57,,,,,,,,,,,,,,,,
190,62,,,,,,,,,,,,,,,,
191,77,,,,,,,,,,,,,,,,
192,63,,,,,,,,,,,,,,,,
193,61,,,,,,,,,,,,,,,,
194,63,,,,,,,,,,,,,,,,
195,53,,,,,,,,,,,,,,,,
196,48,,,,,,,,,,,,,,,,
197,45,,,,,,,,,,,,,,,,
198,66,,,,,,,,,,,,,,,,
199,55,,,,,,,,,,,,,,,,
200,57,,,,,,,,,,,,,,,,
201,66,,,,,,,,,,,,,,,,
202,57,,,,,,,,,,,,,,,,
203,59,,,,,,,,,,,,,,,,
204,52,,,,,,,,,,,,,,,,
205,58,,,,,,,,,,,,,,,,
206,61,,,,,,,,,,,,,,,,
207,60,,,,,,,,,,,,,,,,
208,50,,,,,,,,,,,,,,,,
209,70,,,,,,,,,,,,,,,,
210,50,,,,,,,,,,,,,,,,
211,58,,,,,,,,,,,,,,,,
212,54,,,,,,,,,,,,,,,,
213,62,,,,,,,,,,,,,,,,
214,64,,,,,,,,,,,,,,,,
215,66,,,,,,,,,,,,,,,,
216,52,,,,,,,,,,,,,,,,
217,70,,,,,,,,,,,,,,,,
218,46,,,,,,,,,,,,,,,,
219,54,,,,,,,,,,,,,,,,
220,55,,,,,,,,,,,,,,,,
221,59,,,,,,,,,,,,,,,,
222,59,,,,,,,,,,,,,,,,
223,60,,,,,,,,,,,,,,,,
224,51,,,,,,,,,,,,,,,,
225,69,,,,,,,,,,,,,,,,
226,54,,,,,,,,,,,,,,,,
227,70,,,,,,,,,,,,,,,,
228,67,,,,,,,,,,,,,,,,
229,61,,,,,,,,,,,,,,,,
230,62,,,,,,,,,,,,,,,,
231,51,,,,,,,,,,,,,,,,
232,58,,,,,,,,,,,,,,,,
233,66,,,,,,,,,,,,,,,,
234,75,,,,,,,,,,,,,,,,
235,44,,,,,,,,,,,,,,,,
